dest,symbol,name,address,decimals,origin,sourceAddress,sourceDecimals,coingeckoId,logo,serumV3Usdc,serumV3Usdt
bsc,aUST,AnchorUST (Portal),0x8b04E56A8cd5f4D465b784ccf564899F30Aaf88C,6.0,terra,terra1hzh9vpxhsk8253se0vv5jj6etdvxu3nv8z07zu,6.0,anchorust,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/aUST_wh.png,,
terra,AVAX,AVAX (Portal),terra1hj8de24c3yqvcsv9r8chr03fzwsak3hgd8gv3m,8.0,avax,0xb31f66aa3c1e785363f0875a1b74e27b85fd66c7,18.0,avalanche,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/AVAX_wh.png,E8JQstcwjuqN5kdMyUJLNuaectymnhffkvfg1j286UCr,
terra,USDCeav,USD.e Coin (Portal from Avalanche),terra1pvel56a2hs93yd429pzv9zp5aptcjg5ulhkz7w,6.0,avax,0xa7d7079b0fead91f3e65f86e8915cb59c1a4c664,6.0,usd-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDCeav_wh.png,,
terra,USDTeav,Tether USD.e (Portal from Avalanche),terra1eqvq3thjhye7anv6f6mhxpjhyvww8zjvqcdgjx,6.0,avax,0xc7198437980c041c805a1edcba50c1ce5db95118,6.0,tether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDTeav_wh.png,,
terra,BNB,Binance Coin (Portal),terra1cetg5wruw2wsdjp7j46rj44xdel00z006e9yg8,8.0,bsc,0xbb4CdB9CBd36B01bD1cBaEBF2De08d9173bc095c,18.0,binance-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/BNB_wh.png,4UPUurKveNEJgBqJzqHPyi8DhedvpYsMXi7d43CjAg2f,FjbKNZME5yVSC1R3HJM99kB3yir3q3frS5MteMFD72sV
terra,BUSDbs,Binance USD (Portal from BSC),terra1skjr69exm6v8zellgjpaa2emhwutrk5a6dz7dd,8.0,bsc,0xe9e7cea3dedca5984780bafc599bd69add087d56,18.0,binance-usd,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/BUSDbs_wh.png,,
terra,CAKE,PancakeSwap Token (Portal),terra1xvqlpjl2dxyel9qrp6qvtrg04xe3jh9cyxc6av,8.0,bsc,0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82,18.0,pancakeswap,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/CAKE_wh.png,,
terra,USDCbs,USD Coin (Portal from BSC),terra1yljlrxvkar0c6ujpvf8g57m5rpcwl7r032zyvu,8.0,bsc,0x8ac76a51cc950d9822d68b83fe1ad97b32cd580d,18.0,usd-coin,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDCbs_wh.png,,
terra,USDTbs,Tether USD (Portal from BSC),terra1vlqeghv5mt5udh96kt5zxlh2wkh8q4kewkr0dd,8.0,bsc,0x55d398326f99059fF775485246999027B3197955,18.0,tether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/USDTbs_wh.png,,
terra,AUDIO,Audius (Portal),terra1nc6flp57m5hsr6y5y8aexzszy43ksr0drdr8rp,8.0,eth,0x18aaa7115705e8be94bffebde57af9bfc265b998,18.0,audius,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/AUDIO_wh.png,FxquLRmVMPXiS84FFSp8q5fbVExhLkX85yiXucyu7xSC,
terra,BAT,Basic Attention Token (Portal),terra1apxgj5agkkfdm2tprwvykug0qtahxvfmugnhx2,8.0,eth,0x0d8775f648430679a709e98d2b0cb6250d2887ef,18.0,basic-attention-token,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/BAT_wh.png,,
terra,DAI,DAI (Portal),terra1zmclyfepfmqvfqflu8r3lv6f75trmg05z7xq95,8.0,eth,0x6b175474e89094c44da98b954eedeac495271d0f,18.0,dai,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/DAI_wh.png,,
terra,ETH,Ether (Portal),terra14tl83xcwqjy0ken9peu4pjjuu755lrry2uy25r,8.0,eth,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,18.0,ether,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/ETH_wh.png,8Gmi2HhZmwQPVdCwzS7CM66MGstMXPcTVHA7jF19cLZz,ch7kmPrtoQUSEPBggcNAvLGiMQkJagVwd3gDYfd8m7Q
terra,LDO,Lido DAO (Portal),terra1jxypgnfa07j6w92wazzyskhreq2ey2a5crgt6z,8.0,eth,0x5a98fcbea516cf06857215779fd812ca3bef1b32,18.0,lido-dao,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/LDO_wh.png,,
terra,LINK,Chainlink (Portal),terra12dfv3f0e6m22z6cnhfn3nxk2en3z3zeqy6ctym,8.0,eth,0x514910771af9ca656af840dff83e8264ecf986ca,18.0,chainlink,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/LINK_wh.png,FJMjxMCiDKn16TLhXUdEbVDH5wC6k9EHYJTcrH6NcbDE,Gr2KmhK7Upr4uW56B1QQrJuhhgmot6zAHJeZALTMStiX
terra,MIMet,Magic Internet Money (Portal from Ethereum),terra15a9dr3a2a2lj5fclrw35xxg9yuxg0d908wpf2y,8.0,eth,0x99d8a9c45b2eca8864373a26d1459e3dff1e17f3,18.0,magic-internet-money,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/MIMet_wh.png,,
terra,ORION,Orion Money (Portal),terra1mddcdx0ujx89f38gu7zspk2r2ffdl5enyz2u03,8.0,eth,0x727f064a78dc734d33eec18d5370aef32ffd46e4,18.0,orion-money,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/ORION_wh.png,,
terra,SHIB,Shiba Inu (Portal),terra1huku2lecfjhq9d00k5a8dh73gw7dwe6vvuf2dd,8.0,eth,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,18.0,shiba-inu,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SHIB_wh.png,Er7Jp4PADPVHifykFwbVoHdkL1RtZSsx9zGJrPJTrCgW,
terra,SUSHI,SushiToken (Portal),terra1csvuzlf92nyemu6tv25h0l79etpe8hz3h5vn4a,8.0,eth,0x6b3595068778dd592e39a122f4f5a5cf09c90fe2,18.0,sushi,https://raw.githubusercontent.com/certusone/wormhole-token-list/main/assets/SUSHI_wh.png,3uWVMWu7cwMnYMAAdtsZNwaaqeeeZHARGZwcExnQiFay,T3aC6qcPAJtX1gqkckfSxBPdPWziz5fLYRt5Dz3Nafq
