NAME,SYMBOL,ADDRESS,DECIMALS,LOGOURI,VERIFIED
COBAN,COBAN,7udMmYXh6cuWVY6qQVCd9b429wDVn2J71r5BdxHkQADY,3,https://assets.coingecko.com/coins/images/19483/large/coban-logo-pebyyxjzxvebwa8nsvpp9t8iple69h6enp9bdknotq.png?1635285761,true
Samoyedcoin,SAMO,7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,9,https://assets.coingecko.com/coins/images/15051/large/IXeEj5e.png?1619560738,true
Solyard Finance,YARD,8RYSc3rrS4X4bvBCtSJnhcpPpMaAJkXnVKZPzANxQHgz,9,https://assets.coingecko.com/coins/images/18400/large/IMG_7306.JPG?1631775657,true
ChikinCoin,CKC,8s9FCz99Wcr3dHpiauFRi6bLXzshXfcGTfgQE7UEopVx,6,https://assets.coingecko.com/coins/images/24978/large/Screenshot_from_2022-04-11_15-47-44.png?1649663281,true
Grape Protocol,GRAPE,8upjSpvjcdpuzhfR1zriwg5NXkwDruejqNE9WNbPRtyA,6,https://assets.coingecko.com/coins/images/18149/large/fRsuAlcV_400x400.png?1632437325,true
renLUNA,renLUNA,8wv2KAykQstNAj2oW6AHANGBiFKVFhvMiyyzzjhkmGvE,6,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/8wv2KAykQstNAj2oW6AHANGBiFKVFhvMiyyzzjhkmGvE/logo.png,true
SolDoge,SDOGE,8ymi88q5DtmdNTn2sPRNFkvMkszMHuLJ1e3RVdWjPa3s,0,https://assets.coingecko.com/coins/images/19746/large/2L4aX1r.png?1635822424,true
WOOF,WOOF,9nEqaUcb16sQ3Tn1psbkWqyhPdLmfHWjKGymREjsAgTE,6,https://assets.coingecko.com/coins/images/18319/large/woof-logo-svg-true-solana-radient-blackinside.png?1637655115,true
Solster,STR,9zoqdwEBKWEi9G5Ze8BSkdmppxGgVv1Kw4LuigDiNr9m,9,https://assets.coingecko.com/coins/images/18621/large/log-350.png?1632701442,true
MOONLANA,MOLA,AMdnw9H5DFtQwZowVFr4kUgSXJzLokKSinvgGiUoLSps,9,https://raw.githubusercontent.com/solana-labs/token-list/main/assets/mainnet/AMdnw9H5DFtQwZowVFr4kUgSXJzLokKSinvgGiUoLSps/logo.png,true
Star Atlas,ATLAS,ATLASXmbPQxBUYbxPsV97usA3fPQYEqzQBUHgiFCUsXx,8,https://assets.coingecko.com/coins/images/17659/large/Icon_Reverse.png?1628759092,true
Boring Protocol,BOP,BLwTnYKqf7u4qjgZrrsKeNs2EzWkMLqVCu6j8iHyrNA3,8,https://assets.coingecko.com/coins/images/16828/large/imgonline-com-ua-resize-VT59gqn-Bya-WGG.jpg?1625210880,true
